id,name,email,amount,category,date,status
1,User1,user1@example.com,215.46,Books,2025-11-10,inactive
2,User2,user2@example.com,806.08,Electronics,2025-04-03,pending
3,User3,user3@example.com,373.46,Health,2026-04-25,pending
4,User4,user4@example.com,281.06,Automotive,2025-07-06,pending
5,User5,user5@example.com,556.93,Health,2025-03-12,active
6,User6,user6@example.com,637.24,Garden,2025-10-12,cancelled
7,User7,user7@example.com,450.93,Electronics,2025-04-18,cancelled
8,User8,user8@example.com,740.35,Fashion,2025-07-27,inactive
9,User9,user9@example.com,807.22,Sports,2026-02-28,cancelled
10,User10,user10@example.com,146.75,Automotive,2026-04-02,cancelled
11,User11,user11@example.com,485.32,Books,2026-05-28,cancelled
12,User12,user12@example.com,737.89,Toys,2026-02-03,active
13,User13,user13@example.com,987.68,Health,2025-07-26,pending
14,User14,user14@example.com,2.68,Toys,2025-03-30,pending
15,User15,user15@example.com,733.54,Home,2026-03-21,inactive
16,User16,user16@example.com,689.86,Electronics,2025-06-07,active
17,User17,user17@example.com,962.99,Books,2025-11-16,active
18,User18,user18@example.com,150.65,Home,2025-06-21,pending
19,User19,user19@example.com,5.61,Food,2026-07-18,pending
20,User20,user20@example.com,178.53,Electronics,2025-03-28,cancelled
21,User21,user21@example.com,736.89,Health,2025-03-16,active
22,User22,user22@example.com,59.07,Books,2025-04-15,cancelled
23,User23,user23@example.com,1.01,Sports,2026-11-20,cancelled
24,User24,user24@example.com,439.81,Electronics,2026-01-17,inactive
25,User25,user25@example.com,229.35,Electronics,2025-08-28,cancelled
26,User26,user26@example.com,776.29,Toys,2025-07-24,cancelled
27,User27,user27@example.com,717.90,Automotive,2026-07-15,inactive
28,User28,user28@example.com,274.81,Garden,2025-01-02,pending
29,User29,user29@example.com,903.26,Garden,2026-10-01,active
30,User30,user30@example.com,357.13,Automotive,2025-10-05,pending
31,User31,user31@example.com,747.39,Garden,2026-06-07,cancelled
32,User32,user32@example.com,726.47,Automotive,2026-12-29,cancelled
33,User33,user33@example.com,965.79,Automotive,2026-03-20,active
34,User34,user34@example.com,912.62,Home,2025-06-22,cancelled
35,User35,user35@example.com,471.96,Fashion,2025-02-13,active
36,User36,user36@example.com,431.62,Sports,2025-12-23,pending
37,User37,user37@example.com,471.13,Books,2026-11-12,active
38,User38,user38@example.com,324.53,Toys,2026-01-13,active
39,User39,user39@example.com,573.12,Automotive,2026-10-01,active
40,User40,user40@example.com,853.90,Health,2025-07-25,inactive
41,User41,user41@example.com,281.37,Health,2026-09-17,cancelled
42,User42,user42@example.com,22.36,Health,2025-07-28,active
43,User43,user43@example.com,434.60,Toys,2025-09-20,inactive
44,User44,user44@example.com,208.32,Food,2025-01-21,pending
45,User45,user45@example.com,446.58,Toys,2026-07-23,pending
46,User46,user46@example.com,42.48,Health,2026-11-09,inactive
47,User47,user47@example.com,397.62,Sports,2026-04-23,active
48,User48,user48@example.com,224.44,Books,2025-01-16,inactive
49,User49,user49@example.com,778.67,Home,2026-12-01,inactive
50,User50,user50@example.com,357.48,Toys,2025-11-16,cancelled
51,User51,user51@example.com,816.05,Garden,2025-01-07,pending
52,User52,user52@example.com,648.38,Books,2025-05-13,active
53,User53,user53@example.com,180.33,Books,2026-07-11,cancelled
54,User54,user54@example.com,53.60,Automotive,2026-12-30,cancelled
55,User55,user55@example.com,694.30,Automotive,2026-12-07,pending
56,User56,user56@example.com,183.35,Toys,2026-07-12,cancelled
57,User57,user57@example.com,547.93,Automotive,2025-06-25,active
58,User58,user58@example.com,803.05,Food,2025-10-14,active
59,User59,user59@example.com,192.39,Fashion,2025-01-17,cancelled
60,User60,user60@example.com,801.21,Automotive,2025-02-07,active
61,User61,user61@example.com,658.06,Garden,2025-12-07,inactive
62,User62,user62@example.com,88.78,Health,2025-12-16,pending
63,User63,user63@example.com,625.98,Home,2025-06-10,pending
64,User64,user64@example.com,734.51,Health,2026-03-15,active
65,User65,user65@example.com,699.92,Toys,2026-01-07,inactive
66,User66,user66@example.com,168.74,Fashion,2026-02-23,cancelled
67,User67,user67@example.com,567.10,Garden,2025-09-05,inactive
68,User68,user68@example.com,840.48,Food,2025-08-09,inactive
69,User69,user69@example.com,40.45,Electronics,2025-07-14,active
70,User70,user70@example.com,222.79,Electronics,2026-05-16,cancelled
71,User71,user71@example.com,874.69,Books,2025-03-14,inactive
72,User72,user72@example.com,853.65,Fashion,2026-11-15,inactive
73,User73,user73@example.com,9.75,Fashion,2025-06-04,pending
74,User74,user74@example.com,931.38,Home,2025-11-28,cancelled
75,User75,user75@example.com,235.23,Sports,2026-06-23,cancelled
76,User76,user76@example.com,430.34,Fashion,2025-12-18,inactive
77,User77,user77@example.com,619.57,Toys,2026-11-29,inactive
78,User78,user78@example.com,692.13,Sports,2025-03-22,pending
79,User79,user79@example.com,392.08,Toys,2025-03-17,active
80,User80,user80@example.com,611.59,Electronics,2025-01-31,inactive
81,User81,user81@example.com,941.20,Food,2025-08-21,cancelled
82,User82,user82@example.com,583.41,Sports,2026-10-08,inactive
83,User83,user83@example.com,821.07,Books,2026-06-17,inactive
84,User84,user84@example.com,218.24,Food,2025-03-29,pending
85,User85,user85@example.com,24.19,Sports,2025-03-13,inactive
86,User86,user86@example.com,737.83,Sports,2026-01-14,inactive
87,User87,user87@example.com,118.00,Books,2026-06-29,pending
88,User88,user88@example.com,537.59,Electronics,2025-04-29,pending
89,User89,user89@example.com,216.79,Fashion,2026-08-02,inactive
90,User90,user90@example.com,907.66,Electronics,2025-09-28,active
91,User91,user91@example.com,547.72,Food,2025-04-27,active
92,User92,user92@example.com,545.85,Garden,2025-08-12,pending
93,User93,user93@example.com,379.05,Toys,2025-10-24,active
94,User94,user94@example.com,810.10,Fashion,2026-05-15,cancelled
95,User95,user95@example.com,648.46,Toys,2025-12-26,cancelled
96,User96,user96@example.com,573.29,Electronics,2026-10-23,cancelled
97,User97,user97@example.com,848.18,Books,2025-05-25,pending
98,User98,user98@example.com,870.76,Food,2026-11-30,pending
99,User99,user99@example.com,28.59,Toys,2025-10-08,cancelled
100,User100,user100@example.com,166.94,Home,2026-11-30,active
101,User101,user101@example.com,999.26,Electronics,2026-03-22,inactive
102,User102,user102@example.com,945.48,Home,2026-04-23,active
103,User103,user103@example.com,818.82,Garden,2025-09-01,pending
104,User104,user104@example.com,542.50,Electronics,2025-02-16,active
105,User105,user105@example.com,444.20,Food,2025-10-04,inactive
106,User106,user106@example.com,278.53,Toys,2026-01-10,pending
107,User107,user107@example.com,902.06,Food,2025-09-06,pending
108,User108,user108@example.com,759.41,Automotive,2026-03-04,cancelled
109,User109,user109@example.com,678.11,Fashion,2025-05-07,cancelled
110,User110,user110@example.com,742.62,Garden,2025-08-22,active
111,User111,user111@example.com,827.94,Food,2026-12-30,pending
112,User112,user112@example.com,318.37,Home,2025-11-02,inactive
113,User113,user113@example.com,272.93,Automotive,2026-06-26,pending
114,User114,user114@example.com,35.41,Books,2025-03-22,active
115,User115,user115@example.com,796.06,Electronics,2025-07-18,pending
116,User116,user116@example.com,675.63,Home,2025-08-07,pending
117,User117,user117@example.com,856.34,Electronics,2026-10-21,inactive
118,User118,user118@example.com,658.87,Sports,2025-12-30,inactive
119,User119,user119@example.com,42.60,Fashion,2025-09-25,inactive
120,User120,user120@example.com,576.34,Toys,2026-09-25,active
121,User121,user121@example.com,746.93,Fashion,2026-08-10,active
122,User122,user122@example.com,112.72,Health,2026-08-07,inactive
123,User123,user123@example.com,24.44,Fashion,2025-11-26,cancelled
124,User124,user124@example.com,750.20,Food,2026-01-01,cancelled
125,User125,user125@example.com,632.48,Health,2025-05-05,inactive
126,User126,user126@example.com,212.68,Automotive,2026-09-15,pending
127,User127,user127@example.com,576.75,Sports,2025-05-06,active
128,User128,user128@example.com,378.52,Home,2025-06-08,pending
129,User129,user129@example.com,767.16,Garden,2025-05-24,cancelled
130,User130,user130@example.com,228.44,Toys,2026-10-26,active
131,User131,user131@example.com,636.76,Electronics,2026-05-23,pending
132,User132,user132@example.com,567.68,Toys,2026-06-12,pending
133,User133,user133@example.com,259.83,Books,2025-08-15,inactive
134,User134,user134@example.com,874.76,Fashion,2026-02-05,cancelled
135,User135,user135@example.com,733.03,Electronics,2026-12-08,inactive
136,User136,user136@example.com,751.68,Food,2026-07-18,pending
137,User137,user137@example.com,747.53,Health,2026-02-02,pending
138,User138,user138@example.com,310.74,Health,2025-06-05,active
139,User139,user139@example.com,956.06,Food,2025-09-20,inactive
140,User140,user140@example.com,744.19,Books,2025-04-09,active
141,User141,user141@example.com,180.04,Electronics,2026-02-08,pending
142,User142,user142@example.com,816.57,Electronics,2025-01-14,active
143,User143,user143@example.com,763.05,Sports,2026-12-24,pending
144,User144,user144@example.com,5.97,Home,2025-11-27,active
145,User145,user145@example.com,658.83,Health,2025-07-07,active
